dataset_id,dataset_family,model_name,engine_id,engine_mae,final_cycle_abs_error
DS01,N-CMAPSS,AutoGluon snapshot,7,6.809842069999999,3.824175
DS01,N-CMAPSS,AutoGluon snapshot,8,5.346576083146068,3.9766738
DS01,N-CMAPSS,AutoGluon snapshot,9,10.4574821425,3.4854984
DS01,N-CMAPSS,AutoGluon snapshot,10,3.793705191463415,3.8915055
DS02,N-CMAPSS,AutoGluon snapshot,11,6.933593257627118,1.2882525
DS02,N-CMAPSS,AutoGluon snapshot,14,8.91381689736842,1.9066637
DS02,N-CMAPSS,AutoGluon snapshot,15,5.432394062686567,1.6534407
DS03,N-CMAPSS,AutoGluon snapshot,10,1.9525604924242423,5.3661337
DS03,N-CMAPSS,AutoGluon snapshot,11,7.11544053220339,0.0
DS03,N-CMAPSS,AutoGluon snapshot,12,8.591810965010753,3.8435133
DS03,N-CMAPSS,AutoGluon snapshot,13,6.483297133766233,1.6901321
DS03,N-CMAPSS,AutoGluon snapshot,14,3.8222268657894736,2.0745454
DS03,N-CMAPSS,AutoGluon snapshot,15,2.2337679880597014,0.6107558
DS04,N-CMAPSS,AutoGluon snapshot,7,4.493813091954023,11.170572
DS04,N-CMAPSS,AutoGluon snapshot,8,8.369404212121212,11.907253
DS04,N-CMAPSS,AutoGluon snapshot,9,14.543138835616437,15.85979
DS04,N-CMAPSS,AutoGluon snapshot,10,4.624747788235294,12.943859
DS05,N-CMAPSS,Decision-support v2 export,7,9.43735565882353,1.1134512
DS05,N-CMAPSS,Decision-support v2 export,8,6.514966121978023,1.0394629
DS05,N-CMAPSS,Decision-support v2 export,9,6.054951205797102,1.4249016
DS05,N-CMAPSS,Decision-support v2 export,10,7.689025456097561,1.3113209
DS06,N-CMAPSS,Decision-support v2 export,7,8.23510435875,1.3403541
DS06,N-CMAPSS,Decision-support v2 export,8,6.86761951923077,0.82264555
DS06,N-CMAPSS,Decision-support v2 export,9,8.619241523188407,1.0995729
DS06,N-CMAPSS,Decision-support v2 export,10,5.528111707317073,1.1335212
DS07,N-CMAPSS,AutoGluon snapshot,7,8.249349362820514,2.9187512
DS07,N-CMAPSS,AutoGluon snapshot,8,9.077504173493976,1.1209068
DS07,N-CMAPSS,AutoGluon snapshot,9,15.157827163541667,1.9956783
DS07,N-CMAPSS,AutoGluon snapshot,10,8.72968187816092,0.8481656
