dataset_id,split,engine_id,cycle,rul_true,rul_true_raw,rul_pred,dataset_family,model_name,source_type,source_truth,source_predictions,prediction_artifact_kind,abs_error,residual,final_cycle,is_final_cycle
DS01,test,7,1,89.0,,71.7004,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,17.299599999999998,-17.299599999999998,90,False
DS01,test,7,2,88.0,,83.25351,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,4.746489999999994,-4.746489999999994,90,False
DS01,test,7,3,87.0,,82.36006,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,4.639939999999996,-4.639939999999996,90,False
DS01,test,7,4,86.0,,82.11911,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,3.8808899999999937,-3.8808899999999937,90,False
DS01,test,7,5,85.0,,79.23154,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,5.768460000000005,-5.768460000000005,90,False
DS01,test,7,6,84.0,,85.76695,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,1.7669499999999942,1.7669499999999942,90,False
DS01,test,7,7,83.0,,88.5164,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,5.516400000000004,5.516400000000004,90,False
DS01,test,7,8,82.0,,81.76577,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,0.2342299999999966,-0.2342299999999966,90,False
DS01,test,7,9,81.0,,73.75989,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,7.240110000000001,-7.240110000000001,90,False
DS01,test,7,10,80.0,,82.70738,N-CMAPSS,AutoGluon snapshot,local_import_join,data/processed/N-CMAPSS/DS01/test_DS01_v0.csv,data/processed/outputs/N-CMAPSS/ncmapss_DS01_rul_predictions_autogluon_FIXED.csv,raw_prediction_export,2.7073800000000006,2.7073800000000006,90,False
