model,RMSE,MSE,MAE,R2
CatBoost,12.718406802567717,161.7578715956008,7.778347083714763,0.7377770130168035
W70_30_Cat_GBR,12.758877071503878,162.7889441257474,7.731121459464882,0.7361055585399092
Weighted3_0.5C_0.3L_0.2G,12.795745350435386,163.7310990731888,7.692562862279562,0.7345782468728967
Avg_LGB_Cat,12.804562021017729,163.95680855008962,7.7013037104668225,0.7342123530054792
SimpleAvg3,12.890785858569135,166.17236005148598,7.725016917772699,0.7306207594293488
W70_30_LGB_Cat,12.928509878023966,167.1463676661633,7.74304490112692,0.7290418119348889
W70_30_LGB_GBR,13.149288707321267,172.9037935084866,7.835818579651614,0.719708544954951
LightGBM,13.206274628205021,174.40568955557168,7.886731838162408,0.7172738463296531
GBR,13.378401305928085,178.9816215024583,8.103055460992142,0.7098558793923515
Stack_Ridge_3,13.848070493168485,191.76905638376365,8.30357836022947,0.6891263820433013
