model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_r143_BAG_L1_FULL,-2.0416047272314057,,root_mean_squared_error,0.0010609626770019531,,2.7621779441833496,0.0010609626770019531,,2.7621779441833496,1,True,177
XGBoost_r49_BAG_L1_FULL,-2.0635752098671487,,root_mean_squared_error,0.0026488304138183594,,0.4642000198364258,0.0026488304138183594,,0.4642000198364258,1,True,173
CatBoost_r6_BAG_L1_FULL,-7.6010127460200705,,root_mean_squared_error,0.0015499591827392578,,0.375777006149292,0.0015499591827392578,,0.375777006149292,1,True,188
CatBoost_r128_BAG_L1_FULL,-9.155370331072636,,root_mean_squared_error,0.0019030570983886719,,2.0416131019592285,0.0019030570983886719,,2.0416131019592285,1,True,166
RandomForest_r166_BAG_L1_FULL,-9.551913570378053,,root_mean_squared_error,0.021546125411987305,,0.2738759517669678,0.021546125411987305,,0.2738759517669678,1,True,179
ExtraTrees_r42_BAG_L1_FULL,-9.644033966580205,,root_mean_squared_error,0.02963709831237793,,0.21154403686523438,0.02963709831237793,,0.21154403686523438,1,True,125
RandomForest_r16_BAG_L1_FULL,-9.684873078846385,,root_mean_squared_error,0.03280925750732422,,0.5748729705810547,0.03280925750732422,,0.5748729705810547,1,True,197
RandomForestMSE_BAG_L1_FULL,-9.684873078846385,,root_mean_squared_error,0.0334019660949707,,0.5392868518829346,0.0334019660949707,,0.5392868518829346,1,True,110
RandomForest_r195_BAG_L1_FULL,-9.711322409953365,,root_mean_squared_error,0.03407907485961914,,0.5624005794525146,0.03407907485961914,,0.5624005794525146,1,True,129
ExtraTrees_r197_BAG_L1_FULL,-9.828225368548098,,root_mean_squared_error,0.021108150482177734,,0.3010690212249756,0.021108150482177734,,0.3010690212249756,1,True,194
ExtraTreesMSE_BAG_L1_FULL,-9.828225368548098,,root_mean_squared_error,0.03137397766113281,,0.2618691921234131,0.03137397766113281,,0.2618691921234131,1,True,112
ExtraTrees_r49_BAG_L1_FULL,-9.84977274352983,,root_mean_squared_error,0.022513866424560547,,0.1587519645690918,0.022513866424560547,,0.1587519645690918,1,True,159
CatBoost_r177_BAG_L1_FULL,-10.331704880370996,,root_mean_squared_error,0.0012612342834472656,,0.372028112411499,0.0012612342834472656,,0.372028112411499,1,True,117
RandomForest_r39_BAG_L1_FULL,-10.629100230097903,,root_mean_squared_error,0.030159950256347656,,0.3926048278808594,0.030159950256347656,,0.3926048278808594,1,True,148
LightGBM_r15_BAG_L1_FULL,-10.920825506084038,,root_mean_squared_error,0.0012691020965576172,,0.4777412414550781,0.0012691020965576172,,0.4777412414550781,1,True,153
XGBoost_r34_BAG_L1_FULL,-11.373136547450382,,root_mean_squared_error,0.0012919902801513672,,0.1540663242340088,0.0012919902801513672,,0.1540663242340088,1,True,210
CatBoost_r198_BAG_L1_FULL,-11.542902349040661,,root_mean_squared_error,0.0006892681121826172,,0.6065819263458252,0.0006892681121826172,,0.6065819263458252,1,True,206
XGBoost_r89_BAG_L1_FULL,-11.615050858879643,,root_mean_squared_error,0.0014159679412841797,,0.05413198471069336,0.0014159679412841797,,0.05413198471069336,1,True,132
XGBoost_r98_BAG_L1_FULL,-11.963700660142617,,root_mean_squared_error,0.003309965133666992,,0.6143369674682617,0.003309965133666992,,0.6143369674682617,1,True,152
XGBoost_r95_BAG_L1_FULL,-11.972576096335969,,root_mean_squared_error,0.0014719963073730469,,0.07193493843078613,0.0014719963073730469,,0.07193493843078613,1,True,209
RandomForest_r15_BAG_L1_FULL,-12.165720672562344,,root_mean_squared_error,0.015015840530395508,,0.4082968235015869,0.015015840530395508,,0.4082968235015869,1,True,184
CatBoost_r180_BAG_L1_FULL,-12.17366820204268,,root_mean_squared_error,0.001397848129272461,,0.8413183689117432,0.001397848129272461,,0.8413183689117432,1,True,192
XGBoost_r194_BAG_L1_FULL,-12.204756687322408,,root_mean_squared_error,0.002198934555053711,,0.0566258430480957,0.002198934555053711,,0.0566258430480957,1,True,138
CatBoost_r163_BAG_L1_FULL,-12.283305474782612,,root_mean_squared_error,0.0012378692626953125,,0.16252493858337402,0.0012378692626953125,,0.16252493858337402,1,True,205
LightGBM_r131_BAG_L1_FULL,-12.31141182350362,,root_mean_squared_error,0.0015213489532470703,,0.5759317874908447,0.0015213489532470703,,0.5759317874908447,1,True,119
LightGBM_r135_BAG_L1_FULL,-12.346765046473108,,root_mean_squared_error,0.0019860267639160156,,0.49686765670776367,0.0019860267639160156,,0.49686765670776367,1,True,185
CatBoost_r9_BAG_L1_FULL,-12.426418622562638,,root_mean_squared_error,0.00168609619140625,,1.7281970977783203,0.00168609619140625,,1.7281970977783203,1,True,121
XGBoost_r33_BAG_L1_FULL,-12.456709389704264,,root_mean_squared_error,0.00164794921875,,0.25226902961730957,0.00164794921875,,0.25226902961730957,1,True,124
XGBoost_BAG_L1_FULL,-12.456965476787525,,root_mean_squared_error,0.0013451576232910156,,0.044499874114990234,0.0013451576232910156,,0.044499874114990234,1,True,114
LightGBMLarge_BAG_L1_FULL,-12.476182316808995,,root_mean_squared_error,0.000911712646484375,,0.42788219451904297,0.000911712646484375,,0.42788219451904297,1,True,116
XGBoost_r22_BAG_L1_FULL,-12.500396942445068,,root_mean_squared_error,0.0018818378448486328,,0.052160024642944336,0.0018818378448486328,,0.052160024642944336,1,True,186
CatBoost_r50_BAG_L1_FULL,-12.552458078699733,,root_mean_squared_error,0.0013680458068847656,,0.2179398536682129,0.0013680458068847656,,0.2179398536682129,1,True,136
LightGBM_r161_BAG_L1_FULL,-12.594904172436623,,root_mean_squared_error,0.0016367435455322266,,0.7058308124542236,0.0016367435455322266,,0.7058308124542236,1,True,143
CatBoost_r60_BAG_L1_FULL,-12.656868657347824,,root_mean_squared_error,0.0012302398681640625,,0.3293747901916504,0.0012302398681640625,,0.3293747901916504,1,True,183
CatBoost_r70_BAG_L1_FULL,-12.771724660357817,,root_mean_squared_error,0.0021529197692871094,,0.6313202381134033,0.0021529197692871094,,0.6313202381134033,1,True,145
XGBoost_r31_BAG_L1_FULL,-13.130707406641658,,root_mean_squared_error,0.003111124038696289,,0.4829239845275879,0.003111124038696289,,0.4829239845275879,1,True,180
CatBoost_r69_BAG_L1_FULL,-13.131944830451415,,root_mean_squared_error,0.0008590221405029297,,0.25176501274108887,0.0008590221405029297,,0.25176501274108887,1,True,140
CatBoost_r49_BAG_L1_FULL,-13.158640956106806,,root_mean_squared_error,0.0016052722930908203,,0.20405983924865723,0.0016052722930908203,,0.20405983924865723,1,True,158
CatBoost_r137_BAG_L1_FULL,-13.2328086912125,,root_mean_squared_error,0.0014300346374511719,,0.3329010009765625,0.0014300346374511719,,0.3329010009765625,1,True,126
CatBoost_r13_BAG_L1_FULL,-13.243989146557501,,root_mean_squared_error,0.0014989376068115234,,3.2224440574645996,0.0014989376068115234,,3.2224440574645996,1,True,128
CatBoost_r167_BAG_L1_FULL,-13.253246977071456,,root_mean_squared_error,0.00131988525390625,,0.46759867668151855,0.00131988525390625,,0.46759867668151855,1,True,149
CatBoost_r12_BAG_L1_FULL,-13.314784766990083,,root_mean_squared_error,0.001399993896484375,,1.1626451015472412,0.001399993896484375,,1.1626451015472412,1,True,199
LightGBM_r130_BAG_L1_FULL,-13.32453869846254,,root_mean_squared_error,0.0013709068298339844,,0.3185410499572754,0.0013709068298339844,,0.3185410499572754,1,True,134
LightGBM_r188_BAG_L1_FULL,-13.351417526798109,,root_mean_squared_error,0.0013570785522460938,,0.643866777420044,0.0013570785522460938,,0.643866777420044,1,True,130
LightGBM_r30_BAG_L1_FULL,-13.58050737015098,,root_mean_squared_error,0.004333019256591797,,1.6881000995635986,0.004333019256591797,,1.6881000995635986,1,True,172
CatBoost_r86_BAG_L1_FULL,-13.593307073228496,,root_mean_squared_error,0.0012791156768798828,,1.100968837738037,0.0012791156768798828,,1.100968837738037,1,True,155
CatBoost_BAG_L1_FULL,-13.656206923464941,,root_mean_squared_error,0.0013980865478515625,,0.470595121383667,0.0013980865478515625,,0.470595121383667,1,True,111
NeuralNetTorch_r71_BAG_L1_FULL,-13.814053616716068,,root_mean_squared_error,0.0018689632415771484,,0.3188309669494629,0.0018689632415771484,,0.3188309669494629,1,True,176
LightGBMXT_BAG_L1_FULL,-13.936266740015288,,root_mean_squared_error,0.0013580322265625,,0.4668281078338623,0.0013580322265625,,0.4668281078338623,1,True,108
LightGBM_r121_BAG_L1_FULL,-13.97694317975705,,root_mean_squared_error,0.0014379024505615234,,0.6098718643188477,0.0014379024505615234,,0.6098718643188477,1,True,190
CatBoost_r5_BAG_L1_FULL,-14.052180652790867,,root_mean_squared_error,0.0012390613555908203,,0.22095489501953125,0.0012390613555908203,,0.22095489501953125,1,True,174
LightGBM_r94_BAG_L1_FULL,-14.20399248010409,,root_mean_squared_error,0.0026187896728515625,,0.6998190879821777,0.0026187896728515625,,0.6998190879821777,1,True,164
RandomForest_r127_BAG_L1_FULL,-14.488792869734356,,root_mean_squared_error,0.014798879623413086,,0.40906286239624023,0.014798879623413086,,0.40906286239624023,1,True,161
LightGBM_r143_BAG_L1_FULL,-14.589669079027919,,root_mean_squared_error,0.0015940666198730469,,0.448638916015625,0.0015940666198730469,,0.448638916015625,1,True,160
LightGBM_BAG_L1_FULL,-14.778293774250198,,root_mean_squared_error,0.0006389617919921875,,0.16824078559875488,0.0006389617919921875,,0.16824078559875488,1,True,109
LightGBM_r196_BAG_L1_FULL,-14.797927507778477,,root_mean_squared_error,0.004637956619262695,,2.578693151473999,0.004637956619262695,,2.578693151473999,1,True,147
NeuralNetTorch_r158_BAG_L1_FULL,-15.690463173217372,,root_mean_squared_error,0.004087924957275391,,2.228161096572876,0.004087924957275391,,2.228161096572876,1,True,154
NeuralNetTorch_r197_BAG_L1_FULL,-15.693952888590596,,root_mean_squared_error,0.0022737979888916016,,0.5332450866699219,0.0022737979888916016,,0.5332450866699219,1,True,157
LightGBM_r96_BAG_L1_FULL,-16.044655801831883,,root_mean_squared_error,0.005229949951171875,,1.4233782291412354,0.005229949951171875,,1.4233782291412354,1,True,122
LightGBM_r42_BAG_L1_FULL,-16.23188322546453,,root_mean_squared_error,0.0008137226104736328,,0.2633399963378906,0.0008137226104736328,,0.2633399963378906,1,True,211
ExtraTrees_r126_BAG_L1_FULL,-16.275672091564225,,root_mean_squared_error,0.01931595802307129,,0.16194796562194824,0.01931595802307129,,0.16194796562194824,1,True,202
NeuralNetTorch_BAG_L1_FULL,-16.38870774418618,,root_mean_squared_error,0.0022628307342529297,,0.8233687877655029,0.0022628307342529297,,0.8233687877655029,1,True,115
NeuralNetFastAI_r100_BAG_L1_FULL,-16.513233784487767,,root_mean_squared_error,0.00521397590637207,,1.1741600036621094,0.00521397590637207,,1.1741600036621094,1,True,204
NeuralNetFastAI_r95_BAG_L1_FULL,-16.6259066533384,,root_mean_squared_error,0.0037708282470703125,,0.44060587882995605,0.0037708282470703125,,0.44060587882995605,1,True,150
NeuralNetFastAI_r145_BAG_L1_FULL,-16.643824997188766,,root_mean_squared_error,0.003660917282104492,,0.3773610591888428,0.003660917282104492,,0.3773610591888428,1,True,131
ExtraTrees_r172_BAG_L1_FULL,-17.18589303896181,,root_mean_squared_error,0.03040003776550293,,0.15658903121948242,0.03040003776550293,,0.15658903121948242,1,True,139
NeuralNetTorch_r14_BAG_L1_FULL,-17.290793880483257,,root_mean_squared_error,0.002177000045776367,,0.47399187088012695,0.002177000045776367,,0.47399187088012695,1,True,142
ExtraTrees_r178_BAG_L1_FULL,-17.440184563955285,,root_mean_squared_error,0.015212059020996094,,0.2787137031555176,0.015212059020996094,,0.2787137031555176,1,True,178
NeuralNetTorch_r143_BAG_L1_FULL,-17.562292587212983,,root_mean_squared_error,0.0044062137603759766,,2.3160319328308105,0.0044062137603759766,,2.3160319328308105,1,True,165
NeuralNetTorch_r185_BAG_L1_FULL,-17.86175360071724,,root_mean_squared_error,0.003518819808959961,,0.7250359058380127,0.003518819808959961,,0.7250359058380127,1,True,181
NeuralNetTorch_r86_BAG_L1_FULL,-17.948990835838508,,root_mean_squared_error,0.0023479461669921875,,0.2748911380767822,0.0023479461669921875,,0.2748911380767822,1,True,135
NeuralNetFastAI_r191_BAG_L1_FULL,-17.95510740300974,,root_mean_squared_error,0.003780841827392578,,0.35437893867492676,0.003780841827392578,,0.35437893867492676,1,True,120
NeuralNetTorch_r1_BAG_L1_FULL,-18.006662048109426,,root_mean_squared_error,0.0033597946166992188,,1.177426815032959,0.0033597946166992188,,1.177426815032959,1,True,212
NeuralNetTorch_r89_BAG_L1_FULL,-18.024686688333073,,root_mean_squared_error,0.0027573108673095703,,1.323173999786377,0.0027573108673095703,,1.323173999786377,1,True,213
NeuralNetFastAI_BAG_L1_FULL,-18.064239602910106,,root_mean_squared_error,0.0035369396209716797,,0.27701711654663086,0.0035369396209716797,,0.27701711654663086,1,True,113
NeuralNetTorch_r41_BAG_L1_FULL,-18.303386128291606,,root_mean_squared_error,0.003155946731567383,,1.3725910186767578,0.003155946731567383,,1.3725910186767578,1,True,151
NeuralNetTorch_r79_BAG_L1_FULL,-18.410806576597565,,root_mean_squared_error,0.003337860107421875,,1.2959439754486084,0.003337860107421875,,1.2959439754486084,1,True,118
NeuralNetTorch_r121_BAG_L1_FULL,-18.512679570252708,,root_mean_squared_error,0.0026481151580810547,,1.044945240020752,0.0026481151580810547,,1.044945240020752,1,True,195
NeuralNetTorch_r19_BAG_L1_FULL,-19.075422574129878,,root_mean_squared_error,0.0020380020141601562,,0.20027494430541992,0.0020380020141601562,,0.20027494430541992,1,True,208
NeuralNetTorch_r76_BAG_L1_FULL,-19.166757382973625,,root_mean_squared_error,0.0022788047790527344,,0.31581902503967285,0.0022788047790527344,,0.31581902503967285,1,True,193
NeuralNetTorch_r22_BAG_L1_FULL,-19.593670778877094,,root_mean_squared_error,0.002911090850830078,,1.158186912536621,0.002911090850830078,,1.158186912536621,1,True,123
NeuralNetFastAI_r138_BAG_L1_FULL,-19.945815004969838,,root_mean_squared_error,0.0035560131072998047,,0.4352099895477295,0.0035560131072998047,,0.4352099895477295,1,True,189
NeuralNetTorch_r36_BAG_L1_FULL,-20.010882722528738,,root_mean_squared_error,0.002924203872680664,,1.2936129570007324,0.002924203872680664,,1.2936129570007324,1,True,203
NeuralNetTorch_r30_BAG_L1_FULL,-20.105524857176373,,root_mean_squared_error,0.003626108169555664,,1.6871778964996338,0.003626108169555664,,1.6871778964996338,1,True,133
NeuralNetFastAI_r172_BAG_L1_FULL,-20.182844532575146,,root_mean_squared_error,0.0045812129974365234,,0.5483798980712891,0.0045812129974365234,,0.5483798980712891,1,True,191
NeuralNetTorch_r31_BAG_L1_FULL,-20.50522426199486,,root_mean_squared_error,0.002240896224975586,,0.3043060302734375,0.002240896224975586,,0.3043060302734375,1,True,168
NeuralNetFastAI_r156_BAG_L1_FULL,-21.16355336095829,,root_mean_squared_error,0.004166841506958008,,0.7537250518798828,0.004166841506958008,,0.7537250518798828,1,True,146
NeuralNetFastAI_r69_BAG_L1_FULL,-21.232276524383845,,root_mean_squared_error,0.003525257110595703,,0.23568415641784668,0.003525257110595703,,0.23568415641784668,1,True,187
NeuralNetFastAI_r134_BAG_L1_FULL,-21.240044885552,,root_mean_squared_error,0.006225109100341797,,1.600391149520874,0.006225109100341797,,1.600391149520874,1,True,162
NeuralNetFastAI_r65_BAG_L1_FULL,-21.4006409576279,,root_mean_squared_error,0.004137992858886719,,0.6087250709533691,0.004137992858886719,,0.6087250709533691,1,True,170
