engine_id,cycle,rul_pred,anomaly_score,decision_label,reason_codes,reason_text,theta_rul_used,alpha_anomaly_used
1,1,70.16705,1.2134737659152959e-12,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,2,69.19292,8.654828553833482e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,3,75.103516,5.880851361439454e-13,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,4,74.65394,2.4934059261738642e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,5,71.33423,1.623190470922964e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,6,80.7685,6.743151644061918e-06,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,7,79.68602,7.217505038070726e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,8,71.75578,3.0531133177191805e-14,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,9,64.02883,1.0425017626936041e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,10,71.12282,0.0,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,11,71.63996,1.1076142225618923e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,12,69.215515,6.994405055138486e-15,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,13,70.095345,0.0,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,14,77.97982,3.252939029252388e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,15,78.20251,1.2024277129540906e-09,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,16,69.27943,4.225686467407286e-11,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,17,70.53803,2.7200464103316335e-14,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,18,69.030945,5.029310301551959e-13,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,19,63.01798,2.481348460037225e-13,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,20,70.14358,2.5820512394858497e-10,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
1,21,71.54138,2.3350275157874023e-08,Normal Operation,RUL_HIGH|ANOM_LOW,RUL is above θ_RUL and anomaly is below α_anomaly; continue normal operation.,0.0,0.8908822390195317
